SNID,RA_host,Dec_host,zcmb
722,0.705703,0.751234,0.08504312
739,14.595315,0.679056,0.10642602
744,329.19849,0.317498,0.12694168
762,15.535334,-0.878981,0.19009326
774,25.463467,-0.876399,0.09227418
2012ht,163.34992,16.77244,0.004646
SN2013aa,218.16975,-44.17442,0.004781
2013cs,198.803927,-17.966603,0.010295
2013dy,334.57417,40.56239,0.002932
2015F,114.09933,-69.53083,0.005286
2017cbv,218.16975,-44.17442,0.004781
1032,46.795696,1.119552,0.12903917
1112,339.017639,-0.375189,0.25608847
1119,320.413555,0.894656,0.29639217
1166,9.355281,0.973942,0.38050053
1241,337.672525,-0.776589,0.08847963
1253,323.799046,0.163079,0.26165864
1316,334.863827,0.494451,0.21565601
1371,349.373819,0.429384,0.11797258
1580,45.323063,-0.644066,0.18322352
